PageNumber,EnglishCommon,LatinSpecies,Length,Voice,Comment
14,Great Crested Grebe,Podiceps cristatus,50,"Adults have a deep resonant call. Young beg with piping ""ping-ping"".",
16,Black-crowned Night-Heron,Nycticorax nycticorax,61,"The call is a characteristic ""kowak-kowak"".",
17,Eastern Cattle,Egrebt Bubulcus coromandus,50,"Call is low, nasal croak.",
18,Great Egret,Ardea alba,90,"Call is deep rolling ""krr-rr-rra"".",
21,Eurasian Spoonbill,Platalea leucorodia,21,Only sounds are coughs and bill-clappering.,
22,Mute Swan,Cygnus olor,150,"Despite name, it hisses in threat and emits deep explosive ""heeorr"" call.",
23,Tundra Swan,Cygnus columbianus,142,"Calls are similar to Whooper's but higher-pitched. Groups chorus with crane-like drawn-out ""klah"" notes.",
23,Whooper Swan,Cygnus cygnus,155,"Flight call is characteristic ""klo-klo-klo"", but contact call is a loud melancholy bugle-like call.",
24,Greylag Goose,Anser anser,76,The call of the Greylag is a deep honking.,
28,Common Teal,Anas crecca,42,"Male has curious cricket-like ""kirrip"" call. Female replies with thin high guck.",
29,Mallard,Anas platyrhynchos,58,"Voice is familiar deep ""quack quack"".",
29,Chinese Spot-billed Duck,Anas zonorhyncha,60,"Call is ""quack"" like domestic duck's.",
30,Northern Pintail,Anas acuta,71,"Male's call is short whistled ""kree"".",
36,Common Kestrel,Falco tinnunculus,35,"The call is a plaintive ""yek-yek-yek"".",
38,Blue-breasted Quail,Coturnix chinensis,14,"Call is sweet double whistle, ""ti-yu, ti-yu"".",
39,Silver Pheasant,Lophura nyctemera,94,Male gives harsh piercing calls.,
42,Common Pheasant,Phasianus colchicus,85,Male's call is two-note explosive hacking followed by whirr of wings.,
43,Grey Peacock-Pheasant,Polyplectron bicalcaratum,53,"The voice is a loud, far-carrying double note, ""taa-pwi"", and curious warbling calls.",
44,Green Peafowl,Pavo muticus,350,"Gives loud trumpeting calls, ""kay-yaw, kay-yaw"", often from roost perch.",
44,White-breasted Waterhen,Amaurornis phoenicurus,33,"The calls are remarkable, with a monotonous ""kee-wak, kee-wak"", often at night, and loud cacophonous group calls.",
45,Common Moorhen,Gallinula chloropus,33,"The call is a bubbling ""pyurrrk"" or clucking ""kreck, kreck, kreck, kreck"".",
45,Grey-headed Swamp-hen,Porphyrio poliocephalus,48,Gives deep tooting calls.,
46,Common Coot,Fulica atra,38,The coot gives a variety of nasal explosive calls.,
46,Common Crane,Grus grus,125,Pairs duet with clear far-carrying horn sound.,
49,Black-winged Stilt,Himantopus himantopus,37,"Call is a persistent ""klit-klit-klit"" similar to that of Pied Avocet; also gives tern-like cries, ""kyee"".",
49,Pied Avocet,Recurvirostra avosetta,43,"Makes frequent clear flutish calls, ""kluit kluit kluit"".",
50,Little Ringed Plover,Charadrius dubius,16,"Call in flight is drawn-out ""peeyoo"".",
50,Pacific Golden Plover,Pluvialis fulva,24,Call is a shrill whistle.,
51,Red-wattled Lapwing,Vanellus indicus,32,"Call is a series of loud screams, *did-he-do-it, pity-to-do-it*.",
51,Northern Lapwing,Vanellus vanellus,31,"Characteristic call is shrill ""ee-wit, ee-wit"".",
52,Far-eastern Curlew,Numenius madagascariensis,62,"(...) mixes with Eurasian Curlew and has similar rising, plaintive ""cur-li"" call.",
53,Common Redshank,Tringa totanus,27,"Voice is musical three-note call, ""teu-hu-hu"", with raised first note.",
53,Common Greenshank,Tringa nebularia,35,"Call is a noisy, loud, ringing ""tew"" rapidly repeated three or more times.",
54,Terek Sandpiper,Xenus cinereus,23,Call is loud rapid shrill whinny.,
54,Common Sandpiper,Actitis hypoleucos,20,"Voice is a shrill ""wee-wee-wee-wee"".",
55,Saunder's Gull,Chroicocephalus saundersi,33,"Call is a shrill ""eek eek"".",
55,Black-headed Gull,Chroicocephalus ridibundus,40,"Call is a rolling, screaming ""krreeay"".",
57,White-winged Tern,Chlidonias leucopterus,24,"Call a short ""kek kek"", less raucous than most terns.",
57,Rock Dove,Columba livia,34,"Call is soft muffled cooing ""druu-oo-u"".",
58,Oriental Turtle-Dove,Streptopelia orientalis,32,"The call is a melodious ""kroo kroo-kroo kroo"".",
59,Red Collared-Dove,Streptopelia tranquebarica,23,"The call is a deep ""cru-u-u-u-u"", repeated several times, with emphasis on first note.",
59,Spotted Dove,Streptopelia chinensis,30,"The call is a melodious ""ter-ku-koor"".",
60,Emerald Dove,Chalcophaps indica,25,The call is a long mournful note.,
60,Green Imperial-Pigeon,Ducula aenea,42,"The call is a melodious, deep ""click-hrooo"".",
61,Derbyan Parakeet,Psittacula derbiana,43,The call is a high-pitched shrill whistle.,
61,Greater Coucal,Centropus sinensis,49,"The call is a deep ""glug glug glug"".",
62,Common Barn-Owl,Tyto alba,35,Call is a harsh screech.,
62,Collared Scops-Owl,Otus lettia,23,"(...) with a characteristic soft, hollow ""hoo-o"", repeated several times per minute and with emphasis on the first note.",
63,Eurasian Eagle-owl,Bubo bubo,69,The call is a hollow poop.,
63,Snowy Owl,Bubo scandiacus,61,"Male gives duck-like alarm call, ""krek-krek-krek"". Female has a barked alarm call and also gives whistled ""seeuee"" calls.",
64,Collared Owlet,Glaucidium brodiei,16,"The owlet calls repeatedly during daytime with an easily imitated call, ""poop poop-a-poop"".",
64,White-throated Kingfisher,Halcyon smyrnensis,28,"Call is a loud piercing cry, ""kee-kee-kee-kee"".",
65,Common Kingfisher,Alcedo atthis,18,"The call is a shrill ""peep peep"" (...)",
65,Blue-throated Bee-eater,Merops viridis,28,"The call is a fast trilling ""kerik-kerik-kerik"".",
66,Indian Roller,Coracias benghalensis,33,"The call is a harsh crow-like ""chak chak"".",
66,Eurasian Hoopoe,Upupa epops,28,"The call is a soft double or triple ""hoo-poo-(poo)"" and harsh shrieks.",
67,Great Hornbill,Buceros bicornis,125,"The call is a loud, far-carrying ""wer-gok"" (...)",
67,Great Barbet,Megalaima virens,30,"The usual call is a constantly repeated cry like that of a cat, but the bird makes other calls including a loud rasp.",
70,Blue-winged Pitta,Pitta moluccensis,21,"Voice is three-note whistle, ""pu-wi-u"", with raised second note.",
70,Barn Swallow,Hirundo rustica,15,"Call is a sharp ""wit-wit"".",
71,White Wagtail,Motacilla alba,19,"Call is hard ""chissick"".",
71,Grey-chinned Minivet,Pericrocotus solaris,18,"Voice is repeated thin ""tsee see tsee"".",
72,Crested Finchbill,Spizixos crinifrons,22,Calls with fluty cheerful phrase similar to those of other bulbuls.,
72,Black-headed Bulbul,Pycnonotus ariceps,17,"The song is a soft, sweet simple phrase.",
73,Red-whiskered Bulbul,Pycnonotus jocosus,20,"(...) noisy, lively groups (...) keep up a lively chattering or give rather non-musical repetitive phrases of simple song, ""bulbi bulbit"".",
73,Light-vented Bulbul,Pycnonotus sinensis,19,(...) give typical chattering chirps and simple-phrased non-musical calls.,
74,Mountain Bulbul,Hypsipetes mcclellandii,24,"The song is a sibilant monotnous three-note call, a rising three-note call and various mewing calls.",
75,Chestnut Bulbul,Hemixos castanonotus,21,"(...) has loud scolding notes and sharp ringing call, ""tickety boo"".",
75,Himalayan Black Bulbul,Hypsipetes leucocephalus,20,"Calls variable, including loud squawks, witers and strident whistles.",
76,Blue-winged Leafbird,Chloropsis cochinchinensis,18,"It makes many loud lively calls, often imitating other species.",
76,Golden-fronted Leafbird,Chloropsis aurifrons,19,"The call is a loud cheerful ""che-wit, che-wit"" and a melodious song, but the bird is also a good mimic of many other bird calls.",
77,Orange-bellied Leafbird,Chloropsis hardwickii,20,"(...) has a loud, clear song and whistled call notes, often mimicking other birds' calls.",
77,Asian Fairy-bluebird,Irena puella,28,"The call is a loud, clear and distinctive ""pip"" (...) and a sharp *be quick, be quick, be quick*, or loud mellow song.",
78,Maroon-backed Accentor,Prunella immaculata,15,"Call is a monotonous, ""zee dzit"".",
79,White-browed Shortwing,Brachypteryx montana,13,Has loud sweet song.,
79,Japanese Robin,Luscinia akahige,15,The call is a distinctive sweet trill.,
80,Rufous-tailed Robin,Luscinia sibilans,13,Has a short sweet song.,
82,Blue-fronted Redstart,Phoenicurus frontalis,16,"Grating alarm call and simple ""tchih tchih"", given from prominent low perch.",
82,White-capped Water-redstart,Chaimarrornis leucocephalus,19,"Call a shrill, rather plaintive ""t-e-e-e-"".",
83,White-tailed Robin,Myiomela leucura,17,Has a powerful sweet song.,
83,Oriental Magpie-Robin,Copsychus saularis,23,(...) singing with a clear melodious voice. The alarm call is a harsh clicking.,
84,White-rumped Shama,Copsychus malabaricus,28,"The alarm call is a harsh click similar to magpie-robin's, but the song is much richer and more melodious.",
84,Blue Whistling-thrush,Myiophoneus caeruleus,33,"Call is a penetrating harsh whistle, or a screech of alarm similar to that of forktail.",
85,Plain-backed Thrush,Zoothera mollissima,26,Rattling alarm call like Chinese Blackbird.,
86,Orange-headed Thrush,Zoothera citrina,22,"Call (...) is buzzing ""dzee dzee"".",
87,Chinese Blackbird,Turdus mandarinus,28,"Sweet song is less musical than that of European Blackbird, but rattling alarm call is much the same.",
88,Eyebrowed Thrush,Turdus obscurus,24,"Call is a thin ""tzee"".",
88,White-crowned Forktail,Enicurus leschenaulti,28,Alarm call is harsh screech like that of Blue Whistling-thrush.,
89,Pale-footed Bush-warbler,Cettia pallidipes,12,Voice is a series of sharp chirps.,
89,Common Tailorbird,Orthotomus sutorius,12,"Varied calls include noisy repeated ""ch-wee ch-wee ch-wee"" and monotonous wren-like song.",
90,Bianchi's Warbler,Seicercus valentini,13,"Call is loud ""chip chiwoo"".",
90,White-tailed Leaf-warbler,Phylloscopus davisoni,10,Song is a sweet shrill warble.,
