Page,EnglishCommon,LatinSpecies,Voice,Comment
30,Grey Heron,Ardea cinerea,"A loud, deep and gruff croak, often uttered in flight.",
32,Sparrowhawk,Accipiter nisus,"A high-pitched, repetitive ""kew-kew-kew-kew-kew"", mainly uttered during the breeding season.","corrected Latin name (""Accipter"")"
34,Kestrel,Falco tinnunculus,"A far-carrying, high-pitched and repetitive ""kee-kee-kee"", often uttered in flight.",
36,Moorhen,Gallinula chloropus,"A range of clucking calls, including a repetitive ""ki-ki-ki-kik"".",
38,Black-headed Gull,Larus ridibundus,"A range of noisy calls, especially when in groups.",
40,Feral Pigeon,Columba livia,"A familiar, three noted cooing sound.",
42,Stock Dove,Columba oenas,"A soft pair of notes, repeated several times. Less raucous than its relatives.",
44,Wood Pigeon,Columba palumbus,"A distinctive, monotonous, five-note call: ""coo-COO-coo, coo-coo"" - with the stress on the second syllable. One of the most familiar sounds of our towns and suburbs.",
46,Collared Dove,Streptopelia decaocto,"A distinctive, though rather monotonous, three-noted call, ""coo-COO-coo"", with the stress on the middle syllable.",
48,Ring-necked Parakeet,Psittacula krameri,"A loud, high-pitched screech, usually uttered as a contact call in flight. Can also utter a repeated call reminiscent of that of the Green Woodpecker.",
50,Tawny Owl,Strix aluco,"Distinctive, haunting, hooting call, and piercing ""kee-wick"", with stress on second note.",
52,Swift,Apus apus,"Distinctive screaming, which in the past earned them the nickname of 'devil bird'. Most obvious at dusk.",
54,Kingfisher,Alcedo atthis,A high-pitched whistling call.,
56,Green Woodpecker,Picus viridis,"A loud, powerful series of high-pitched notes, reminiscent of a laughing sound, and giving the species the country name of 'Yaffle'. Said to call more just before the rain!",
58,Great Spotted Woodpecker,Dendrocopos major,"Loud, far carrying drumming in spring; also distinctive, resonant ""chip"" call, which often draws your attention to its presence high in a tree.",
60,Lesser Spotted Woodpecker,Dendrocopos minor,"Quiet, gentle drumming. High-pitched repetitive call - a weak ""kee-kee-kee-kee"".",
62,Swallow,Hirundo rustica,"Series of chattering notes, usually given in flight. Also a high-pitched ""chit"".",
64,House Martin,Delichon urbica,"A rapid series of high-pitched, twittering sounds; also a sharp, loud ""prrrit"" call.",
66,Grey Wagtail,Motacilla cinerea,"A loud, piercing two-note call, similar to Pied Wagtail's, but sharper and more metallic in sound.",
68,Pied Wagtail,Motacilla alba,"A loud, distinctive two note call, usually written ""chis-ick"", with the emphasis on the second syllable.",
70,Waxwing,Bombycilla garrulus,"A quiet, delicate trilling call, often uttered by several birds at once.",
72,Wren,Troglodytes troglodytes,"Extraordinarily loud and piercing song: full of trills and ending with a rapid series of notes. Call a loud ""tic"".",
74,Dunnock,Prunella modularis,Rather monotonous song; a soft warble with no clear beginning or end.,
76,Robin,Erithacus rubecula,"Beautiful, plaintive song; sung in sweet phrases. Robins sing all year round as they defend autumn and winter territories. Variety of calls including sharp ""tic"".",
78,Blackbird,Turdus merula,"Distinctive, tuneful song, with rich tone and clear phrases. Variety of calls, such as the chattering alarm when flushed.",
80,Fieldfare,Turdus pilaris,"A loud, harsh and repetitive ""chack"" call, often given in flight.",
82,Song Thrush,Turdus philomelos,"Rich, tuneful and melodic song, with clear groups and phrases, usually in threes.",
84,Redwing,Turdus iliacus,"A thin, high-pitched call, generally given in flight. Listen out for migrating redwings during clear autumn nights as they pass overhead, often in quite large flocks.",
86,Mistle Thrush,Turdus viscivorus,"Song like a cross between Song Thrush and Blackbird, with the repetition of the former and rich tone of the latter. Harsh rattling call, usually given in flight.",
88,Whitethroat,Sylvia communis,"A variety of vocalisations, including a fast, chattering warble and several harsh calls.",
90,Garden Warbler,Sylvia borin,"Song very easily confused with that of the Blackcap, its close relative. With practice, can be told apart by faster pace and less fluty tone.",
92,Blackcap,Sylvia atricapilla,"Distinctive, fluty song, reminiscent of Blackbird in tone but at a higher pitch. Call a hard ""tac"".",
94,Chiffchaff,Phylloscopus collybita,"The famous repeated phrase of two notes: ""chiff"" and ""chaff""! Also distinctive ""hoo-eeet"" call.",
96,Goldcrest,Regulus regulus,"Thin, high-pitched ""see-see-see"" call often the first indication of its presence. Song a distinctive, high-pitched phrase, with a rapid rhythm on three repeated notes.",
98,Spotted Flycatcher,Muscicapa striata,"Series of high pitched squeaky notes, delivered from a perch on a branch.",
100,Long-tailed Tit,Aegithalos caudatus,"Distinctive high-pitched contact call, repeated to keep in touch with other members of its flock.",
102,Marsh Tit,Parus palustris,"Song a repeated phrase of notes rather like Blue Tit. Call an explosive ""pit-choo"" - often the best indication of its presence.",
