Page,Section,Family,EnglishCommon,LatinSpecies,Length,Voice,Comments
20,Divers,Gaviidae,Black-throated Diver,Gavia arctica,64,Call on breeding grounds is low wailing cry; in flight sometimes utters rapid quack like Red-throated Diver's.,
20,Divers,Gaviidae,Red-throatd Diver,Gavia stellata,56,Usual call a rapid goose-like quacking.,
20,Divers,Gaviidae,Great Northern Diver,Gavia immer,76,Calls in breeding season include loud wail and yodelling; quacks in flight like other divers.,
20,Divers,Gaviidae,White-billed Diver,Gavia adamsii,76,Both species have similar calls.,exclude
22,Grebes,Podicipedidae,Great Crested Grebe,Podiceps cristatus,46,NA,
22,Grebes,Podicipedidae,Red-necked Grebe,Podicps grisegena,43,"Sharp call note: ""kell-kell""; squealing note in breeding season.",
22,Grebes,Podicipedidae,Slavonian Grebe,Podiceps auritus,36,Rippling trill in breeding season.,
22,Grebes,Podicipedidae,Black-necked Grebe,Podiceps nigricollis,30,Rippling call and other notes in breeding season.,
22,Grebes,Podicipedidae,Little Grebe,Tachybaptus ruficollis,25,"In spring utters a characteristic, far-reaching, whickering trill.",
22,Grebes,Podicipedidae,Pied-billed Grebe,Podilymbus podiceps,35,NA,
32,Cormorants,Phalacrocoracidae,Cormorant,Phalacrocorax carbo,92,"Usually silent, but on breeding grounds various guttural groans and moans can be heard.",
34,Herons and bitterns,Ardeidae,Bittern,Botaurus stellaris,76,"The booming call, often heard at dusk in breeding season, has been compared to blowing in a bottle, or a distant foghorn, and may be heard from up to three miles.",
34,Herons and bitterns,Ardeidae,Little Bittern,Ixobrychus minutus,36,Song is a deep croak repeated continually at day and night.,
38,Herons and bitterns,Ardeidae,Grey Heron,Ardea cinerea,92,"Call, a harsh ""kaark"".",
38,Herons and bitterns,Ardeidae,Night Heron,Nycticorax nycticorax,61,"The call is a characteristic ""quock"".",
40,Storks,Ciconiidae,White Stork,Ciconia ciconia,102,"Usually silent, but bill-clattering is a characteristic feature of display. During the breeding season coughing and hissing notes may sometimes be heard.",
40,Storks,Ciconiidae,Black Stork,Ciconia nigra,97,"Unlike the White Stork, the Black Stork has various coarse call notes and bill-clattering is less often heard.",
40,Spoonbills,Threskiornithidae,Spoonbill,Platalea leucorodia,86,"Usually silent, but bill clattering may occur if excited. Also utters occasional grunting sounds in summer.",
40,Flamingos,Phoenicopteridae,Greater Flamingo,Phoenicopterus ruber,122,"Various trumpeting cries, in flight especially; also a gabble like that of a goose.",
44,Swans,Anatidae,Mute Swan,Cygnus olor,147,"Adult's voice is a low grunt, but cygnets are noisier. Wing-beats of flying birds produce a singing note.",
44,Swans,Anatidae,Whooper Swan,Cygnus cygnus,147,"Whooper is rather noisy with characteristic deep, bugle-like whooping, which can be heard over long distances.",
44,Swans,Anatidae,Bewick's Swan,Cygnus columbianus,122,Call is somewhat like Whooper's but much more musical and pleasant.,
46,Geese,Anatidae,Canada Goose,Branta canadensis,56-76,"Voice is a hoarse honking, not unlike that of Whooper and Bewick's Swans.",
46,Geese,Anatidae,Brent Goose,Branta bernicla,61,"Call is a guttural, croaking ""rronk"".",
46,Geese,Anatidae,Barnacle Goose,Branta leucopsis,64,"Call is a series of rapid, repeated short barks.",
46,Geese,Anatidae,Red-breasted Goose,Branta ruficollis,56,"Call is two-syllabled, staccato, rather high pitched.",
48,Geese,Anatidae,Greylag Goose,Anser anser,81,It is the wild ancestral form of the Domestic Goose and the call is similar to the familiar honking of this bird.,
48,Geese,Anatidae,White-fronted Goose,Anser albifrons,71,"The call is more highly pitched than that of other large grey geese and consists of a laughing ""kow-yow"".",
48,Geese,Anatidae,Lesser White-fronted Goose,Anser erythropus,61,The call is higher pitched than that of the White-fronted Goose.,
50,Geese,Anatidae,Bean Goose,Anser fabalis,76,The call is lower and more honking than that of other grey geese.,
50,Geese,Anatidae,Pink-footed Goose,Anser brachyrhynchus,71,"The call is very similar to that of the Bean Goose, but slightly higher pitched.",
50,Geese,Anatidae,Snow Goose,Anser caerulescens,71,The call is harsh and there is also a deep gabbling produced by birds together in flocks.,
52,Suurface-feeding ducks,Anatidae,Mallard,Anas platyrhynchos,59,Duck's voice is loud quack; drake is quieter.,
52,Suurface-feeding ducks,Anatidae,Gadwall,Anas strepera,51,Call is very low and reedy.,
52,Suurface-feeding ducks,Anatidae,Pintail,Anas acuta,71,Call is short whistle.,
52,Suurface-feeding ducks,Anatidae,Wigeon,Anas penelope,46,"Call, a high descending whistle, often reveals presence of flocks.",
52,Suurface-feeding ducks,Anatidae,American Wigeon,Anas americana,51,Call is two or three soft whistles.,
54,Suurface-feeding ducks,Anatidae,Teal,Anas crecca,36,Call is a short whistle.,
54,Suurface-feeding ducks,Anatidae,Garganey,Anas querquedula,38,The call of male is a strange crackling sound.,
54,Suurface-feeding ducks,Anatidae,Shoveler,Anas clypeata,51,Quacks like a Mallard; also has a low clucking.,
56,Suurface-feeding ducks,Anatidae,Marbled Duck,Marmaronetta angustirostris,41,"The male utters a low croak, the female a low quack which is difficult to hear.",
56,Suurface-feeding ducks,Anatidae,Shelduck,Tadorna tadorna,61,"The call is a characteristic ""ag-ag-ag"", rather like the flight call of divers. Silent outside breeding season.",
56,Suurface-feeding ducks,Anatidae,Ruddy Shelduck,Tadorna ferruginea,61,"The call is nasal, Shelduck-like.",
60,Sea ducks,Anatidae,Harlequin,Histrionicus histrionicus,41,"Usually silent. Male sometimes utters a soft whistle, female a harsh croak.",
62,Sea ducks,Anatidae,Long-tailed Duck,Clangula hyemalis,43,"A very vocal duck, often first noticed by its yodelling whistles.",
64,Sea ducks,Anatidae,Eider,Somateria mollissima,61,"Best-known note is conversational ""oo-oo"" of drakes when courting.",
66,Mergansers,Anatidae,Red-breasted Merganser,Mergus serrator,56,Call consists of low short quacks.,
66,Mergansers,Anatidae,Goosander,Mergus merganser,64,Call consists of low short quacks.,
70,Vultures,Accipitridae,Griffon Vulture,Gyps fulvus,102-109,Various unmusical croaks and whistles are sometimes heard.,
70,Vultures,Accipitridae,Lammergeier,Gypaëtus barbatus,104-117,"Usually silent, but at breeding grounds utters loud, high-pitched whistles.",
76,Eagles,Accipitridae,Bonelli's Eagle,Hieraaetus fasciatus,69-74,Calls resemble that of Goshawk.,
76,Eagles,Accipitridae,Booted Eagle,Hieraaetus pennatus,46-51,"Call is a high-pitched, trilling cry.",
76,Eagles,Accipitridae,Short-toed Eagle,Circaetus gallicus,66-69,"Plaintive and harsh ""jee"" and a weaker but sharper 2-3 syllable call.",
78,Eagles,Accipitridae,Buzzard,Buteo buteo,51-56,"Usually silent but in breeding season gives high-pitched, drawn-out mewing call.",
78,Eagles,Accipitridae,Rough-legged Buzzard,Buteo lagopus,51-64,Soars like Buzzard; often seen hovering.,
80,Eagles,Accipitridae,Goshawk,Accipiter gentilis,48-61,At nesting site a rapid call similar to Sparrowhawk's and a mewing cry similar to Buzzard's can be heard.,
80,Eagles,Accipitridae,Sparrohawk,Accipiter nisus,30-38,"At nesting site a rapid ""leek-kek-leek"" can be heard.",
80,Eagles,Accipitridae,Levant Sparrowhawk,Accipiter brevipes,33-38,"Besides Sparrowhawk-like calls, it has distinct ""vee-vitt"".",
82,Eagles,Accipitridae,Red Kite,Milvus milvus,61-66,Call is buzzard-like,
82,Ospreys,Pandionidae,Osprey,Pandion haliaetus,53-61,Call is a rapid series of descending high-pitched whistles.,
84,Ospreys,Pandionidae,Marsh Harrier,Circus aeruginosus,48-56,"On breeding grounds the nasal, high-pitched whistling call can be heard.",
88,Ospreys,Pandionidae,Eleonora's Falcon,Falco eleonorae,36,"Call is a harsh ""keya"", sometimes repeated.",
88,Ospreys,Pandionidae,Hobby,Falco subbuteo,28-31,"Call is a repeated ""kick"".",
88,Ospreys,Pandionidae,Merlin,Falco columbarius,28-31,"Call is a Kestrel-like chattering ""ki-ki-ki"". Female has similar but lower-pitched chatter and also a much slower, rather plaintive call, ""eep-eep"".",
90,Ospreys,Pandionidae,Red-footed Falcon,Falco vespertinus,25-30,"Call is Kestrel-like, but higher pitched.",
90,Ospreys,Pandionidae,Lesser Kestrel,Falco naumanni,28-31,"Call is more chatteing, not as shrill as Kestrel's.",
90,Ospreys,Pandionidae,Kestrel,Falco tinnunculus,30-33,"Call is a series of shrill ""keh-leek"" notes and also a repeated ""kee-kee-kee"".",
